ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
2,Food-Spice,Cumin powder,Lead,2.4,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
4,Food-Spice,Masala,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/04/2011 12:00:00 AM,
5,Food-Candy,Tamarind Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/06/2011 12:00:00 AM,
6,Food-Candy,Lucas Muecas candy,Lead,-1,ppm,Lucas Muecas,MEXICO,01/06/2011 12:00:00 AM,
7,Jewelry,Amulet (Tabeez),Lead,580000,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/13/2011 12:00:00 AM,
8,Jewelry,String for amulet/tabeez,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/13/2011 12:00:00 AM,
9,Cosmetics,Surma (Hashmi),Lead,410000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,01/19/2011 12:00:00 AM,
10,Food-Spice,Powdered red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
11,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
12,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
14,Food-Spice,Red pepper spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/19/2011 12:00:00 AM,
15,Food-Spice,Turmeric powder,Lead,610,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/21/2011 12:00:00 AM,
16,Food-Spice,Chili powder,Lead,3.8,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/21/2011 12:00:00 AM,
17,Dietary Supplement/Medications/Remedy,Pregnita (Ayurvedic),Lead,12000,ppm,Ajmera Pharmaceuticals PVT. LTD.,INDIA,01/24/2011 12:00:00 AM,
18,Dietary Supplement/Medications/Remedy,Calcimax 500,Lead,2.7,ppm,Meyer Vitabiotics,INDIA,01/24/2011 12:00:00 AM,
19,Food-Spice,Turmeric,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,
20,Food-Spice,Red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,
21,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lays,DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,
22,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lay,DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,
23,Cosmetics,Johnson & Johnson Baby Powder,Lead,-1,ppm,Dipsoduske oleh,INDONESIA,02/07/2011 12:00:00 AM,
24,Food Other,Dulces Vero,Lead,-1,ppm,Viacom,MEXICO,02/08/2011 12:00:00 AM,
25,Food-Spice,Crevette fish bouillon,Lead,-1,ppm,Nestle,GUINEA,02/08/2011 12:00:00 AM,
26,Jewelry,Amulet/charm,Lead,500000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
27,Jewelry,Fashion hair clip,Lead,330000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
28,Tableware/Pottery,Clay pot,Cadmium,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
29,Tableware/Pottery,Clay pot,Lead,6.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
30,Food-Spice,Chilli powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/15/2011 12:00:00 AM,
31,Toys/Children's Products,Red Race Car (Rust-Eze 95),Lead,73,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/18/2011 12:00:00 AM,
